BJD,Flux,Flux_unc
1711.6265696381993,151376.86,44.569786
1711.6279585285793,151520.44,44.575096
1711.6293474187264,151461.45,44.54954
1711.6307363091057,151455.61,44.558193
1711.6321251994852,151481.36,44.575886
1711.633514089633,151489.58,44.585846
1711.6349029800137,151491.86,44.552746
1711.636291870393,151514.0,44.58587
1711.6376807605395,151465.36,44.583214
1711.6390696509197,151520.31,44.546684
1711.640458541067,151500.22,44.575188
1711.6418474314462,151476.44,44.57123
1711.6432363218257,151425.78,44.56522
1711.6446252119729,151545.78,44.587334
1711.6460141021207,151607.48,44.59488
1711.6474029925007,151629.55,44.5883
1711.6487918826472,151462.83,44.580135
1711.6501807730274,151491.83,44.586468
1711.6515696631745,151522.92,44.570496
1711.6529585535538,151583.14,44.565407
1711.6543474437003,151611.84,44.586597
1711.6557363338477,151621.22,44.59711
1711.6571252239949,151776.34,44.60808
1711.6585141143748,151865.97,44.638668
1711.659903004522,152026.7,44.63541
1711.6612918946691,152040.19,44.660812
1711.6626807848165,152214.08,44.661724
1711.6640696751958,152383.0,44.71144
1711.6654585653423,152357.64,44.681087
1711.6668474554897,152440.83,44.70806
1711.6682363456368,152431.2,44.697395
1711.669625235784,152361.55,44.681465
1711.6710141259312,152441.64,44.701797
1711.6724030160783,152412.86,44.7161
1711.6737919062257,152351.4,44.69085
1711.6751807963722,152400.48,44.69859
1711.6779585766658,152493.06,44.709557
1711.6793474668132,152445.03,44.70267
1711.6807363569596,152381.17,44.710915
1711.6821252471068,152362.44,44.695484
1711.6835141372546,152389.12,44.716885
1711.6849030274018,152409.22,44.709793
1711.6862919175485,152441.34,44.705494
1711.6876808074621,152360.23,44.683723
1711.6890696976093,152405.73,44.699997
1711.6904585877564,152361.88,44.695263
1711.691847477903,152502.56,44.695095
1711.6932363678168,152549.08,44.710552
1711.6946252579646,152385.81,44.7097
1711.6960141481125,152494.53,44.70105
1711.6974030380263,152437.38,44.714405
1711.70018081832,152522.19,44.67707
1711.7015697082343,152397.67,44.69667
1711.7029585983807,152461.75,44.734726
1711.7043474885274,152527.28,44.708443
1711.7057363784425,152472.64,44.69291
1711.7071252685903,152439.47,44.720177
1711.708514158504,152547.83,44.701218
1711.7099030486504,152481.66,44.69101
1711.711291938565,152458.95,44.705723
1711.712680828712,152370.02,44.71102
1711.7140697186258,152563.12,44.722134
1711.7154586085396,152554.12,44.702175
1711.7168474986868,152419.69,44.70136
1711.7182363886018,152492.16,44.71639
1711.719625278516,152443.92,44.711483
1711.7210141686626,152490.33,44.725464
1711.7224030585771,152535.64,44.70047
1711.7237919484915,152498.11,44.698612
1711.725180838638,152435.58,44.71034
1711.7265697285516,152521.23,44.724197
1711.7293475083804,152492.0,44.709854
1711.7307363985276,152499.19,44.720284
1711.732125288442,152522.16,44.71296
1711.7335141783562,152371.48,44.70403
1711.7349030682708,152442.1,44.714054
