# Times (BJD) 	 Diff. Mag. 	 Diff. Mag. Err.
2459628.621595837	-0.002163547383474394	0.005051772649083427
2459628.6223713052	-0.0018646330811445048	0.005176352273385298
2459628.6231467733	-0.0027068003792384047	0.00509289646816586
2459628.623922242	-0.00427912287282144	0.005100423688309936
2459628.62469771	0.004486422447658138	0.005101691689979439
2459628.625473178	0.0036094199424756964	0.005121089109614639
2459628.6262486465	0.002036294342541151	0.005037821586555723
2459628.6270241146	-0.0060648168417038436	0.005120655843146714
2459628.6277995827	-0.003508888339744134	0.004974333677680701
2459628.6285750507	-0.009080955869565206	0.005003645139838865
2459628.629338945	-0.00440976707914402	0.005020458729713803
2459628.6301144133	0.004740653167403545	0.005029257466622637
2459628.6308783074	-0.007776159905859974	0.005039007758817134
2459628.6316537755	0.0012123789694044084	0.005010817114789733
2459628.6324292435	0.004007580581014621	0.004793453989063597
2459628.6332047116	0.005509033187987073	0.004855801253647455
2459628.6339686057	-0.00549498441515308	0.0050617770778080586
2459628.634744074	-0.005378699110122379	0.005076310345981585
2459628.6355195423	-0.005811926435335634	0.005082440082238691
2459628.6362950103	0.0007520149504383536	0.005145623476644697
2459628.6370589044	0.0018095952578527645	0.005154790994570593
2459628.6378459465	0.001145696913897619	0.005155532704338537
2459628.6386098405	0.0037877131123621554	0.005172333415194254
2459628.639385309	-0.0025272378196332253	0.005159358969227009
2459628.640160777	-0.008570416787940165	0.005121681694236609
2459628.640924671	0.0022349170380992892	0.005157133829879406
2459628.6417001393	-0.006436098699419275	0.005179928431577582
2459628.6424640333	0.0018416004215835832	0.00517348244999086
2459628.6432395014	-0.031816468920326864	0.005048183205669372
2459628.6440033955	0.006459587632946568	0.005171839723619873
2459628.6447788635	-0.005243666114467447	0.005109379412459385
2459628.6455543316	0.0023095281983609183	0.005117417568229012
2459628.6463297997	0.0029468865269056546	0.00514882834721698
2459628.6471052677	-0.007689679459975484	0.005112610869925306
2459628.6478807363	0.002481638930495509	0.00517670977001863
2459628.6486562043	0.0005290349432061829	0.0051997574235721575
2459628.6494200984	-0.0037635081053000938	0.005246909506342572
2459628.6501955665	-0.0034800989569333867	0.005335345368654606
2459628.6509710345	0.009303047156218627	0.005360826814009333
2459628.6517465026	-0.0011892508790811384	0.005316545982712768
2459628.6525219707	-0.00238135357728095	0.0052897981139954356
2459628.6532974388	-0.0012547783781402045	0.005326491356452264
2459628.6540844813	-0.0020515919833651187	0.005347522337831387
2459628.6548599494	0.004335004213969258	0.005314275001177821
2459628.655623843	0.011184173721532048	0.005371321531756997
2459628.6563993115	0.003303926840780031	0.0053704920123009816
2459628.6571747796	0.002544207404133443	0.0052720055061340875
2459628.657938673	0.001894547538314395	0.005300759292999794
2459628.658702567	0.008334389696044149	0.005354936174852985
2459628.6594780353	0.006262958736683233	0.005358065198283497
2459628.6602419293	-0.003245527648587095	0.005342470500639926
2459628.6610289714	-0.003622050719272031	0.005390919750501216
2459628.6617928655	-0.002989969881726933	0.005380657282409278
2459628.6625683336	0.003138135645051308	0.005380203363560463
2459628.6633438016	-0.007244536458431618	0.005372987329668464
2459628.6641076957	0.005107586225152121	0.005223213445454092
2459628.664894738	0.0020005676371909944	0.005380232612247347
2459628.665658632	-0.0004594663867972559	0.005436863279678811
2459628.666422526	-0.003048858576441796	0.005455970860401399
2459628.667197994	-0.004999508906993194	0.005393773950160309
2459628.667973462	0.00571406785428555	0.005404070356404068
2459628.6687373556	0.0031307932794999464	0.005446470075964697
2459628.6695128237	-0.0037581284734286052	0.0054159184375763975
2459628.6702882918	0.001799916322814035	0.005463098119109891
2459628.67106376	0.006364334856039003	0.005376825848810732
2459628.671827654	-0.0025971187269170897	0.005461838671501201
2459628.672603122	-0.00017198071127042466	0.005506568096659093
2459628.67337859	-0.0008081559664970222	0.005456078658359603
2459628.674142484	-0.002866336490684148	0.005507649835678761
2459628.674917952	-0.007697679769711666	0.005464871534392672
2459628.67569342	0.002349459905782319	0.005497844801212149
2459628.676457314	-0.00889465133039892	0.00513152989134614
2459628.677232782	-0.0025421081589162816	0.005221145207195136
2459628.67800825	0.0009786623926538508	0.005433011816192876
2459628.678772144	-0.002689654055273688	0.005520225155124403
2459628.679547612	0.009663240603393073	0.005451012678446718
2459628.6803115057	0.013718313544310336	0.005465019312342458
2459628.6810869738	-0.0009532573405159764	0.0054699282337425225
2459628.681850868	0.006200622820350927	0.005442392720961649
2459628.682626336	-0.0010403203137050595	0.005419880047456929
2459628.6833902295	0.00042624785733627244	0.005511114032411231
2459628.6841656975	-0.0020340802005478576	0.005529037835264717
2459628.6849411656	-0.003383348321591471	0.005503734737981933
2459628.6857166337	-0.001281977997935306	0.005521455265733357
2459628.6864921018	0.009705181352974762	0.005593711258075717
2459628.68726757	-0.012605997271965274	0.005552806857167211
2459628.688043038	-0.008344008532130865	0.005537755500788296
2459628.688818506	-0.0027724961736771757	0.005573064841480989
2459628.6895823996	0.006412496266272644	0.005531657154470118
2459628.6903694416	-0.004534850759926125	0.005529913303826545
2459628.6911449097	0.006423132000758061	0.005498105580613939
2459628.691920378	0.014418336923418323	0.0056045133799267465
2459628.692695846	0.0048120851906220796	0.00562279851438879
2459628.693471314	-0.009784889563042645	0.005594456486044764
2459628.694246782	0.000979076840761393	0.005559537946690979
2459628.6950106756	0.0012222112947946767	0.0055187990542986875
2459628.6957861437	-0.006623789857633337	0.005505950134063247
2459628.6965616117	0.006425069751128399	0.005564078335732513
2459628.6973255053	-0.004311194446082447	0.005611131213419107
2459628.6981009734	0.00023073827646272833	0.005601779807127857
2459628.6988648674	0.0018023567479188032	0.0056235783049949604
2459628.699640335	-0.0024741286371999446	0.005660736031714188
2459628.700415803	-0.009444302795707616	0.00558267697583413
2459628.701179697	0.0017509894679349424	0.0056368888745061685
2459628.7019551652	-0.0005900078327615966	0.00558987751185955
2459628.702730633	-0.0025585488868947147	0.0055649011282637925
2459628.703506101	0.00870612198335687	0.005570614957840514
2459628.704269995	-0.0023091148318162046	0.005512739033537085
2459628.705057037	0.00018029231749145785	0.005524061342138536
2459628.7058325047	-0.002646655609275296	0.005567597798713357
2459628.7065963987	-0.003310359395470187	0.005556081417487347
2459628.707371867	-0.0013237167672345215	0.005009755709590873
2459628.7081357604	-0.00879223848822294	0.0056340217726931425
2459628.7089112285	-0.005278122453788498	0.005655308462791746
2459628.7096866965	0.001013514495340744	0.005692362416349716
2459628.710462164	0.001238242549137352	0.005706303614015676
2459628.711226058	-0.004888775291160782	0.005667019270342489
2459628.7120015263	0.00783097876889334	0.0056666553054638006
2459628.712776994	0.0023119861327198085	0.005638378463276445
2459628.713540888	-0.004481105886115455	0.00568899361726728
2459628.7143163555	-0.0045672929114934264	0.005645814312357041
2459628.7150918236	-0.004593894691723452	0.005618418337375958
2459628.7158672917	0.004244474036865355	0.005676542603426368
2459628.7166427597	0.008635626707279666	0.005680070649985331
2459628.7174182273	0.0005771494314180088	0.005654827218916357
2459628.7181821214	0.0009989721046519836	0.005632696303139063
2459628.718957589	0.0019450484140045088	0.00564809312602503
2459628.719733057	0.002482108043094308	0.005733368926739048
2459628.720508525	-0.0006281103754450757	0.00574457579604907
2459628.721283993	0.0002488950176360839	0.005729865538709618
2459628.722059461	-0.0039020669090240054	0.005458375814665182
2459628.722823355	0.0024461715533318717	0.005505766947667635
2459628.7235988225	-0.007896366796047181	0.005751013054963227
2459628.7243742906	0.00776975477915179	0.005863803287474865
2459628.725138184	-0.006931021262884051	0.005736317185153785
2459628.725913652	0.0005312982341759959	0.0054875771922760705
2459628.7266891203	-0.000448764927522506	0.005707786936513377
2459628.727464588	-0.009231094690502808	0.005860316092758841
2459628.728240056	-0.00019008105609658664	0.0059105557183351705
2459628.729015524	0.0021605552725419957	0.005950106435032918
2459628.7297794176	-0.004670163377021039	0.005643261266610102
